Unique ID,URL,Date scraped,Headline,Body,Org,Topics,Sentiment,Scandal_distance,Top_10
1,https://www.bbc.com/sport/football/articles/cy8xk12y4jxo,2025-01-24,Weekend Scottish Premiership team news,"Team news for Saturday and Sunday's Scottish Premiership fixtures.
Kick-off 15:00 GMT on Saturday, unless stated
Aberdeen midfielder Jamie McGrath has been ruled out for an extended period because of a shoulder injury and joins Vicente Besuijen, Jack Milne, Dimitar Mitov, Gavin Molloy, Dante Polvara and Ester Sokler on the sidelines.
Jack MacKenzie returns following a three-game absence.
St Mirren defender Alex Iacovitti will be out for three weeks with a hamstring problem while Conor McMenamin remains out.
Meanwhile, Lewis Jamieson has left the club to join Sacramento Republic.
Celtic forward Kyogo Furuhashi is close to joining Rennes and the Scottish champions hope to sign Jota from the French club, but such a deal is unlikely to be completed before Saturday's game.
Winger James Forrest remains absent for the hosts.
Josh Mulligan is back in Dundee's squad but the game comes too soon for Ziyad Larkeche, Jordan McGhee and Joe Shaughnessy.
New midfielder Victor Lopez is waiting on international clearance, Julien Vetro has been recalled by Burnley and injured quartet Scott Fraser, Billy Koumetio, Antonio Portales and Charlie Reilly remain out.
The match is in doubt after weather-related damage at Celtic Park.
Hearts could include new signings Sander Kartum and Michael Steinwender while Calem Nieuwenhof and Lawrence Shankland may return.
Frankie Kent and Stephen Kingsley remain absent.
Kyle Magennis is back for Kilmarnock.
However, Innes Cameron, Stuart Findlay, Matty Kennedy, Brad Lyons, Robby McCrorie, Rory McKenzie and Kyle Vassell are all out.
Ross County's Nohan Kenneh cannot play against parent club Hibernian but youngsters Andrew McLeod, George Robinson and Dylan Smith are in contention after being recalled from loans.
Eli Campbell, Michee Efete, Ross Laidlaw, Ryan Leak, Will Nightingale and Alex Samuel are all out.
Hibs' Nicky Cadden is expected to play with a protective mask after breaking his nose against Motherwell. Jordan Obita and Nathan Moriah-Welsh return from suspension.
However, captain Joe Newell as well as Marvin Ekpiteta and Elie Youan are missing.
St Johnstone hope to have new midfielder Jonathan Svedberg registered in time to play but defender Daniels Balodis will definitely have to wait with his move not yet finalised.
Uche Ikpeazu, Cammy MacPherson and Sam McClelland miss out.
Motherwell could hand debuts to forward Luke Armstrong and goalkeeper Ellery Balcombe, while Liam Gordon and Harry Paton will be assessed.
Jack Vale begins a two-match suspension and Ross Callachan, Paul McGinn, Lennon Miller, Aston Oxborough, Zach Robinson, Steve Seddon, Apostolos Stamatelopoulos and Jair Tavares are injured.
Dundee United remain without midfielder Craig Sibbald.
Defender Ross Docherty is an injury doubt.
Rangers' Mohamed Diomande is back from suspension and Ianis Hagi and Clinton Nsiala return to the squad. Defender Rafael Fernandes joined the club on loan from Lille this week.
Leon Balogun, Connor Barron and Vaclav Cerny will be assessed but defenders Neraysho Kasanwirjo, John Souttar and Dujon Sterling are injured.
","['Team news', 'St Mirren', 'Rennes', 'Nohan Kenneh', 'Hibernian', 'Eli Campbell', 'Hibs', 'Motherwell', 'Rangers']",sport,-0.9443,0.268,False
2,https://www.bbc.com/news/articles/c8r5p3drv02o,2025-01-25,South of England weekly news quiz,"There has been plenty happening across the south of England this week.
Take our new weekly quiz to see how much of it you remember.
You can read more about all of the stories featured in the links below.
You can also test yourself against last week's quiz if you want more questions.
You can follow BBC Hampshire & Isle of Wight on Facebook, X (Twitter), or Instagram. 
","['BBC Hampshire & Isle of Wight', 'Facebook', 'Twitter', 'Instagram']",sport,0.0772,0.192,False
3,https://www.bbc.com/news/articles/c62qgnjxjg1o,2025-01-25,East of England news quiz of the week,"The East of England is a busy patch to cover and a lot can happen every week. 
The BBC has put together a quiz based on news stories in the region over the last seven days, from 18-24 January 2025. 
There are nine questions (one for each area in the East) based on news in Bedfordshire, Buckinghamshire, Cambridgeshire, Essex, Hertfordshire, Norfolk, Northamptonshire, Peterborough and Suffolk. 
How many can you get right? 
Follow East of England news on X, Instagram and Facebook: BBC Beds, Herts & Bucks, BBC Cambridgeshire, BBC Essex, BBC Norfolk, BBC Northamptonshire or BBC Suffolk.
","['BBC', 'Instagram', 'Facebook', 'BBC Beds', 'Herts & Bucks', 'BBC Cambridgeshire', 'BBC Essex', 'BBC Norfolk', 'BBC Northamptonshire', 'BBC Suffolk']",entertainment,0.0,0.28400000000000003,False
4,https://www.bbc.com/news/technology-65786969,2025-01-24,Tech Decoded: The latest news direct to your inbox,"The tech industry possesses enormous power and influence, touching almost every aspect of our lives, from the way we work and shop, to the way we communicate and travel.
Understanding the industry is not only vital to making sense of the world we live in but also the one we will inhabit tomorrow. Yet it can be hard to tell the signal from the noise, given the sheer volume of technology news out there and the complexity of the topic. 
To address this problem, the BBC launched Tech Decoded - a technology newsletter that helps you to keep up with key trends and understand the context behind the stories.
From artificial intelligence to quantum computing, cryptocurrencies to cybersecurity, our coverage makes sense of the most important innovations in tech, enabling you to separate the hype from reality.
We also explore what is going on at the biggest tech companies - examining the motivations of billionaire bosses such as Elon Musk and Mark Zuckerberg and the increasingly consequential relationships they have with governments around the world. 
Each edition of Tech Decoded includes expert analysis from top BBC correspondents, who dig deeper into the latest news stories. We also curate the best of the BBC's technology content for your enjoyment - from online news and in depth features, to insightful podcasts, documentaries and digital videos.
Our coverage is global, stretching beyond Silicon Valley to explore how tech impacts the rest of world. The aim is always the same: to answer the most important questions and demystify complexity so readers get a fuller picture of this fascinating sector.
When you sign up, it'll be delivered:
Sign up for Tech Decoded here in you are outside the UK, and here if you are in the UK, and you'll hear from us soon.
","['BBC', 'Tech Decoded']",tech,0.9816,0.308,False
5,https://www.bbc.com/news/articles/c17en07lw2jo,2025-01-26,Holiday park to install 'adventure nets' ,"A holiday park has been given permission to install ""adventure nets"", aimed at letting people play safely among some of the trees on site.
The nets at Center Parcs Longleat Forest in Wiltshire will be set on steel columns and connected to 3m-tall tree houses. 
Wiltshire Council approved the plans, with the nets set to be constructed on what is currently a golf course.
The application stated some of the rest of the golf course would be ""restored and planted with native species.""
Center Parcs' application said it was ""the ideal woodland setting for guests to embrace the natural environment"".
""This proposal has been thoughtfully designed to ensure the layout of the adventure nets structure and material choices are sympathetic to its surroundings, with minimal impact to the existing woodland environment, it added. 
The case officer report from the council agreed the intended high-level walkway would not look out of place, according to the Local Democracy Reporting Service. 
""The design is aimed at blending in with the trees and allowing guest users to more fully appreciate the surrounding trees,"" they said.
The council, which approved the plans on 23 January, said the project was a ""welcomed attraction to the holiday park"".
Plans also stated a crane would be used to carry out the work, but that visitors should see little disruption.
Follow BBC Wiltshire on Facebook, X and Instagram. Send your story ideas to us on email or via WhatsApp on 0800 313 4630.
","['Wiltshire Council', ""Center Parcs'"", 'the Local Democracy Reporting Service', 'BBC Wiltshire', 'Facebook', 'Instagram', 'WhatsApp']",politics,0.9651,0.316,False
6,https://www.bbc.com/news/articles/c2l0exzyp74o,2025-01-25,"Light, lanterns and pottery: Photos of the week","A selection of news photographs from around the world.
",[],sport,0.0,,False
7,https://www.bbc.com/news/articles/cd9q7nzz975o,2025-01-27,Villagers had 'no warning' about signal disruption,"Villagers have been struggling to make or receive phone calls for two weeks while a mast is upgraded.
Some residents of Esh Winning, County Durham, said they had had little or no mobile signal since 13 January and there had been no warning about the disruption. 
Operator O2, which is used by Tesco Mobile, Giffgaff and Sky, confirmed it had been carrying out upgrades to a mast in the area.
It apologised for the disruption and said information was ""clearly communicated"" and regularly updated on its website.
One resident, who did not wish to be named, said the community was ""very upset and angry"" because no-one had been warned. 
The resident said not having signal had left them unable to receive text message reminders about upcoming hospital appointments.
According to O2's network status checker, the issues could last until 8 February. 
Ian Rees, who recently moved to the area, said he also started having signal issues on the same day, resulting in him nearly missing out on a job offer.
Signal since then had been sporadic, with no mobile data signal at all, he said.
""I'm OK now as I've figured out how to enable Wi-Fi calling,"" he said.
""I'm new-ish to the area so my main problem is trying to use any satnav apps to get me around.""
An O2 spokesperson said: ""We are carrying out planned upgrades to a mast in Esh Winning to ensure we continue to provide fast and reliable connectivity to customers in the area. 
""This may cause some short-term disruption and we apologise for any inconvenience caused.""
Vodafone, which is used by VOXI, Asda Mobile, Lebara, and Talkmobile, has also been affected. 
""Our infrastructure partner, who is responsible for the site, is carrying out essential upgrades which will support future technologies,"" it said.
The company apologised and encouraged customers to sign up to its network checker.
EE said its mobile network in the village was operating as normal. 
Three has been contacted for a comment. 
Follow BBC North East on X, Facebook, Nextdoor and Instagram. Send your story ideas to northeastandcumbria@bbc.co.uk.
","['Tesco Mobile', 'Giffgaff', 'Sky', 'O2', 'Signal', 'Wi-Fi', 'Vodafone', 'VOXI', 'Asda Mobile', 'Talkmobile', 'EE', 'Facebook', 'Instagram']",tech,-0.823,0.314,False
8,https://www.bbc.com/news/articles/c0e4l2pw159o,2025-01-24,Your pictures of Scotland: 17 - 24 January,"A selection of your pictures of Scotland sent in between 17 and 24 January.
Send your photos to scotlandpictures@bbc.co.uk. Please ensure you adhere to the BBC's rules on photography that can be found here.
Please also ensure you take your pictures safely and responsibly.
If you submit an image, you do so in accordance with the BBC's terms and conditions.
Please ensure that the photograph you send is your own and if you are submitting photographs of children, we must have written permission from a parent or guardian of every child (a grandparent, auntie or friend will not suffice).
In contributing to BBC News you agree to grant us a royalty-free, non-exclusive licence to publish and otherwise use the material in any way, including in any media worldwide.
However, you will still own the copyright to everything you contribute to BBC News.
At no time should you endanger yourself or others, take any unnecessary risks or infringe the law. You can find more information here.
All photos are subject to copyright.
","['BBC', 'BBC News']",entertainment,0.9628,0.298,False
9,https://www.bbc.com/sport/football/articles/clykzn5ggzmo,2025-01-23,New signings 'massive' for Cardiff says boss Riza,"Cardiff City Boss Omer Riza wants ""two or three"" new signings before the end of the January transfer window
Manager Omer Riza says more new signings before the end of the January transfer window will be ""massive"" for Cardiff City's season.
The Bluebirds have so far only added Yousef Salech this month, but the striker has already scored in Cardiff colours, a stoppage time equaliser at Millwall in his second appearance.
But Riza wants more new faces to help their fight against relegation in the Championship.
""Hopefully they'll be to or three more,"" he said.
""It all depends on the situation at the clubs, it depends on how quickly we can get things moving or done, but things are definitely moving towards the right direction.
""I think it will be massive.

""We need a little bit more just to help the group, they've really got a real togetherness, and I think you can see that in the performances, but we need a few more just to push now and hopefully we'll get that.""
The window closes for EFL clubs on Monday, 3 February at 23:00 GMT.
Salech joined for an undisclosed fee believed to be between Â£3m and Â£4m and Riza has pointed to the impact he has made already in just a week at the club.
""I wanted him, I've been tracking him for a while now so that was great to have that one done,"" Riza added.
""All the other ones that I've suggested are hopefully in the pipeline, so the board have been really good, the owner's been really good with it.
""We're all on the same page, which is important. I said we had to be really selective about what we were bringing in, it's important you get it right.""
","['Bluebirds', 'Millwall', 'EFL', 'Salech']",sport,0.9916,0.262,False
10,https://www.bbc.com/sport/football/articles/clykzn5ggzmo,2025-01-23,New signings 'massive' for Cardiff says boss Riza,"Cardiff City Boss Omer Riza wants ""two or three"" new signings before the end of the January transfer window
Manager Omer Riza says more new signings before the end of the January transfer window will be ""massive"" for Cardiff City's season.
The Bluebirds have so far only added Yousef Salech this month, but the striker has already scored in Cardiff colours, a stoppage time equaliser at Millwall in his second appearance.
But Riza wants more new faces to help their fight against relegation in the Championship.
""Hopefully they'll be to or three more,"" he said.
""It all depends on the situation at the clubs, it depends on how quickly we can get things moving or done, but things are definitely moving towards the right direction.
""I think it will be massive.

""We need a little bit more just to help the group, they've really got a real togetherness, and I think you can see that in the performances, but we need a few more just to push now and hopefully we'll get that.""
The window closes for EFL clubs on Monday, 3 February at 23:00 GMT.
Salech joined for an undisclosed fee believed to be between Â£3m and Â£4m and Riza has pointed to the impact he has made already in just a week at the club.
""I wanted him, I've been tracking him for a while now so that was great to have that one done,"" Riza added.
""All the other ones that I've suggested are hopefully in the pipeline, so the board have been really good, the owner's been really good with it.
""We're all on the same page, which is important. I said we had to be really selective about what we were bringing in, it's important you get it right.""
","['Bluebirds', 'Millwall', 'EFL', 'Salech']",sport,0.9916,0.262,False
